"sample_id","lib_size"
"PN1_SID1",2463920
"PN1_SID10",802814
"PN1_SID11",3330110
"PN1_SID12",1875313
"PN1_SID13",1426178
"PN1_SID14",2018472
"PN1_SID15",922879
"PN1_SID16",1018051
"PN1_SID17",845205
"PN1_SID18",648506
"PN1_SID19",1499751
"PN1_SID2",1201540
"PN1_SID20",1133169
"PN1_SID21",1845993
"PN1_SID22",1157305
"PN1_SID23",3779513
"PN1_SID24",1755561
"PN1_SID25",1295353
"PN1_SID26",890973
"PN1_SID27",918509
"PN1_SID28",915913
"PN1_SID29",740059
"PN1_SID3",1497515
"PN1_SID30",4674763
"PN1_SID31",1080490
"PN1_SID32",1040163
"PN1_SID33",1200613
"PN1_SID34",960301
"PN1_SID35",1771182
"PN1_SID36",1235436
"PN1_SID37",640078
"PN1_SID38",941558
"PN1_SID39",1080965
"PN1_SID4",1565581
"PN1_SID40",953402
"PN1_SID41",716877
"PN1_SID42",838743
"PN1_SID43",1709225
"PN1_SID44",675462
"PN1_SID45",1181262
"PN1_SID46",1076510
"PN1_SID47",1829918
"PN1_SID48",1111076
"PN1_SID49",419447
"PN1_SID5",1039721
"PN1_SID50",758963
"PN1_SID51",584291
"PN1_SID52",927964
"PN1_SID53",1015746
"PN1_SID54",675755
"PN1_SID55",1122155
"PN1_SID56",1768907
"PN1_SID57",1005852
"PN1_SID58",852578
"PN1_SID59",1786742
"PN1_SID6",1239422
"PN1_SID60",1070814
"PN1_SID61",735462
"PN1_SID62",853548
"PN1_SID63",859071
"PN1_SID64",739474
"PN1_SID65",506364
"PN1_SID66",478198
"PN1_SID67",658913
"PN1_SID68",1155532
"PN1_SID69",780951
"PN1_SID7",1463710
"PN1_SID70",857379
"PN1_SID71",1498667
"PN1_SID72",1035100
"PN1_SID73",473069
"PN1_SID74",1037442
"PN1_SID75",1055095
"PN1_SID76",677926
"PN1_SID77",764121
"PN1_SID78",865347
"PN1_SID79",475800
"PN1_SID8",1086928
"PN1_SID80",912438
"PN1_SID81",1071954
"PN1_SID82",1451812
"PN1_SID83",1813198
"PN1_SID84",1569095
"PN1_SID85",848698
"PN1_SID86",1344769
