quantity,value,source
3'UTR window Teo/B73 (bias-exposed),0.452,"Hannah, Analysis 1"
CDS window Teo/B73 (ratio of MEANS),3.084,"Hannah, Analysis 1"
CDS window Teo/B73 (ratio of MEDIANS),2.128,"Hannah, medians in her caveats"
COMBINED CDS+UTR window Teo/B73,0.502,sum of her windows
R_div/R_cons as reported,0.147,"Hannah, Analysis 1"
"CDS window share of terminal-region reads, B73 (%)",1.9,derived
"CDS window share of terminal-region reads, Teo (%)",11.8,derived
"fitted 3'-decay scale, exponential (bp)",71.3,calibrated to her B73 UTR:CDS=51.1
B73 minus TIL01 3'UTR length (bp),63,GFF3
that length difference in decay lengths,0.88,derived
"geometry-only predicted CDS ratio, exponential",2.42,"model, 215 bp donor UTR"
"geometry-only predicted CDS ratio, range over 4 shapes",2.12-4.06,"model, 215 bp donor UTR"
"residual expression effect, means / 4 shapes",0.76-1.45,observed 3.08 / geometry
"residual expression effect, medians / 4 shapes",0.52-1.00,observed 2.13 / geometry
