Plot,Rep,Genotype,accession,species,species_mex,origin,notes1,notes2,DTS_corr,DTA_corr,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,EN_corr,NBR_corr,SPAD_corr,LAE_corr,StPi_corr,StPu_corr,Predicted_N_corr,inv4m_introgression
1,1,Zx.0560_P4_P2_P1.5.1.1,Zx.0560,Dura,Mex,PV23-610,,,71.71142499,71.21980421,778.073,770.581,193.343,76.535,2.514,NA,47.871,5.098223584,0.000775989,-0.00283271,,no
2,1,Zl.0010_P1_P3_P1.5.1.1,Zl.0010,Zlux,Zlux,PV23-1393,,,72.52204226,72.77820091,790.451,794.324,183.764,54.297,1.494,NA,48.877,6.086028102,0.000676575,-0.006974251,,no
3,1,Zv.0470_P2_P2_P2.2.1.1,Zv.0470,Bals,Bals,PV23-2247,,,75.14092451,73.55066712,830.228,807.467,179.253,69.513,1.457,NA,26.182,5.073653659,0.000577162,-0.00724214,,no
4,1,Zd.0010_P3_P3_P3.2.1.1,Zd.0010,Zdip,Zdip,PV23-2044,,,76.85957842,75.08468338,857.733,829.915,157.487,64.197,2.434,NA,22.66,4.061601031,0.000477749,0.001671311,,no
5,1,Zx.0500_P2_P3_P1.2.1.1,Zx.0500,Mesa,Mex,PV23-545,,,72.58373185,75.64442378,789.659,838.496,183.836,76.251,2.378,NA,50.685,5.050179987,0.000378335,0.001551294,,no
6,1,Zh.0030_P4_P1_P1.1.1.1,Zh.0030,Hueh,Hueh,PV23-1276,,,78.04356649,77.17816838,875.453,861.015,200.324,89.457,1.341,NA,18.848,5.0391426,0.000278922,0.001419462,,no
7,1,Zd.0040_P1_P1_P2.1.1.1,Zd.0040,Zdip,Zdip,PV23-943,,,74.79863642,75.09846047,825.867,828.988,180.403,68.009,2.315,NA,35.31,5.029276322,0.000179509,0.000950831,,no
8,1,Zd.0030_P2_P4_P4.2.1.1,Zd.0030,Zdip,Zdip,PV23-908,,,77.57618424,76.61320655,868.637,853.248,176.257,57.552,2.249,NA,26.374,5.019882477,8.01E-05,-3.32E-03,,no
9,1,Zv.0260_P2_P3_P1.1.1.1,Zv.0260,Bals,Bals,PV23-1796,,,78.86685472,76.80059887,888.37,853.731,198.254,85.204,1.255,NA,17.982,5.011308856,-1.93E-05,8.14E-04,,no
10,1,Zx.0550_P4_P2_P2.3.1.1,Zx.0550,Dura,Mex,PV23-687,,,73.92015516,73.10080195,812.075,797.51,210.236,81.373,2.203,NA,46.613,5.003837503,-0.000118731,-0.003190223,,no
11,1,Zl.0020_P3_P1_P2.2.1.1,Zl.0020,Zlux,Zlux,PV23-1402,,deep green,78.65340208,79.93223355,887.388,907.569,188.165,85.037,3.186,NA,11.285,3.997319787,-0.000218144,0.001335001,,no
12,1,Zx.0540_P3_P3_P3.1.1.1,Zx.0540,Dura,Mex,PV23-784,,,72.427369,73.48708847,789.447,806.841,187.832,73.067,3.143,NA,50.117,4.991644152,-0.000317558,-0.002890885,,no
13,1,Zv.0220_P3_P1_P2.1.1.1,Zv.0220,Bals,Bals,PV23-1771,,,73.42500996,72.19652395,805.047,786.592,199.744,91.289,4.148,NA,47.007,4.98688687,-0.000431784,-0.002430594,,no
14,1,Zv.0150_P4_P5_P2.2.1.1,Zv.0150,Bals,Bals,PV23-2269,,,81.66800751,78.66004838,937.237,886.663,220.655,71.164,1.189,NA,18.711,5.992568419,-0.000337729,0.001799624,,no
15,1,B73,B73,B73,B73,B73-PV24,,,73.95158291,73.84576968,811.36,811.015,202.316,77.409,2.205,NA,42.987,5.999110726,-0.000243675,-0.002723853,,no
16,1,Zx.0580_P2_P4_P2.1.1.1,Zx.0580,Nobo,Mex,PV23-1032,,,73.91541599,72.56142189,810.07,789.301,195.974,82.162,1.257,NA,17.119,5.00662315,-0.000149621,0.001279336,,no
17,1,Zx.0390_P2_P1_P1.1.1.1,Zx.0390,Mesa,Mex,PV23-2448,,,73.64109,72.38797648,807.3,789.021,193.706,81.456,2.25,NA,12.687,5.015251467,-5.56E-05,-2.86E-03,,no
18,1,Zd.0030_P2_P3_P3.5.1.1,Zd.0030,Zdip,Zdip,PV23-893,,short,NA,NA,NA,NA,147.705,53.898,2.315,NA,NA,6.024710208,3.85E-05,1.41E-03,,no
19,1,Zx.0160_P2_P4_P1.1.1.1,Zx.0160,Chal,Mex,PV23-448,,,74.1328285,72.97234505,814.374,796.953,192.633,75.38,1.34,NA,28.04,6.034648123,0.000132542,1.001867845,,no
