Plot,Rep,Genotype,Species,species_mex,origin,notes1,notes2,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,NBR_corr,SPAD1_corr,SPAD2_corr,StPu_corr,StPi_corr,BW_corr,BL_corr,SL_corr
3001,1,B73,B73,B73,,,,825.8329588,820.869532,219.5440737,70.345958,NA,NA,NA,-0.034925447,0.02587068,NA,NA,NA
3002,1,B73,B73,B73,,,,933.8554552,851.1915314,166.4498618,62.91706661,NA,NA,NA,-0.029550736,0.032040664,NA,NA,NA
3003,1,Zv.0270_P2_P5_P2.1.1.1,Bals,Bals,PV23-2169,,,888.6218514,893.2610214,192.6033053,62.98522017,NA,NA,NA,-0.029864432,-0.004367462,NA,NA,NA
3004,1,Zx.0010_P4_P3_P1.1.1.1,Chal,Mex,PV23-394,,,993.5571835,908.1229026,171.745275,51.19279329,NA,NA,NA,-0.024623963,-0.009946311,NA,NA,NA
3005,1,Zv.0080_P2_P5_P1.2.1.1,Bals,Bals,PV23-1688,,,961.9466953,1040.078541,145.6771722,44.11665038,NA,NA,NA,-0.023935274,-0.004759947,NA,NA,NA
3006,1,Zv.0240_P2_P2_P1.3.1.1,Bals,Bals,PV23-2175,,,993.355305,937.0138295,NA,NA,NA,NA,NA,-0.025009278,0.008448568,NA,NA,NA
3007,1,Zd.0030_P2_P2_P4.5.1.1,Zdip,Zdip,PV23-881,,,972.7001969,911.2099474,NA,NA,NA,NA,NA,-0.017857406,-0.008625253,NA,NA,NA
3008,1,Zx.0550_P4_P5_P1.3.1.1,Dura,Mex,PV23-740,,,795.7421649,811.2907024,178.9023884,75.81988001,NA,NA,NA,-0.018681788,-0.01769908,NA,NA,NA
3009,1,Zx.0370_P2_P2_P1.2.1.1,Mesa,Mex,PV23-368,,,821.7668134,840.0844702,159.2722857,53.48066326,NA,NA,NA,0.978085637,-0.000776536,NA,NA,NA
3010,1,Zv.0480_P3_P2_P1.2.1.1,Bals,Bals,PV23-2229,,,831.2427556,801.557335,154.8307085,54.82755414,NA,NA,NA,-0.016131221,-0.006135089,NA,NA,NA
3011,1,Zx.0580_P3_P3_P3.2.1.1,Nobo,Mex,PV23-1113,,,877.2788244,870.5503152,194.0355971,70.78563335,NA,NA,NA,-0.014301821,-0.007697729,NA,NA,NA
3012,1,Zv.0290_P2_P3_P1.2.1.1,Bals,Bals,PV23-1742,,,869.8284541,889.4504385,153.8102119,52.68165082,NA,NA,NA,-0.01411332,-0.009997805,NA,NA,NA
3013,1,Zd.0040_P1_P3_P1.1.1.1,Zdip,Zdip,PV23-946,,,968.2673612,886.0144108,220.5091936,62.35097361,NA,NA,NA,-0.011568596,-0.057850296,NA,NA,NA
3014,1,Zv.0150_P4_P4_P1.2.1.1,Bals,Bals,PV23-2262,,,889.9916658,899.4601456,182.5950153,67.5694437,NA,NA,NA,-0.007599612,-0.027573762,NA,NA,NA
3015,1,Zx.0220_P2_P1_P2.1.1.1,Chal,Mex,PV23-403,,,921.9348434,920.0732501,199.0931661,62.95182033,NA,NA,NA,-0.010077582,0.019870832,NA,NA,NA
3016,1,Zx.0150_P2_P5_P1.1.1.1,Chal,Mex,PV23-502,,,830.7613586,806.2054084,188.529587,67.15242789,NA,NA,NA,-0.010199352,0.021768538,NA,NA,NA
