sample_id,species,accession,elevation,taxa,teo-species,check,genotype,inv4m_genotype,tissue,date,plate_pos,plate,batch
PN1_SID1,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P5_P1.4.1.1,no,leaf,May262023,A01,1,1
PN1_SID2,Zea_mays,Zv.0420,1342,Bals,Zea mays ssp. parviglumis,no,Zv.0420_P3_P4_P2.2.1.1,no,leaf,May262023,A02,1,1
PN1_SID3,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P4_P1.5.1.1,no,leaf,May262023,A03,1,1
PN1_SID4,Zea_mays,Zx.0520,1710,Mesa,Zea mays ssp. mexicana,no,Zx.0520_P2_P4_P1.2.1.1,no,leaf,May262023,A04,1,1
PN1_SID5,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P2_P3.3.1.1,no,leaf,May262023,A05,1,1
PN1_SID6,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P5_P4.1.1.1,no,leaf,May262023,A06,1,1
PN1_SID7,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,A07,1,1
PN1_SID8,Zea_mays,Zx.0400,1910,Mesa,Zea mays ssp. mexicana,no,Zx.0400_P1_P2_P1.2.1.1,no,leaf,May262023,A08,1,1
PN1_SID9,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P3_P2.2.1.1,no,leaf,May262023,A09,1,1
PN1_SID10,Zea_mays,Zx.0540,1860,Dura,Zea mays ssp. mexicana,no,Zx.0540_P3_P4_P4.3.1.1,no,leaf,May262023,A10,1,1
PN1_SID11,Zea_mays,Zv.0420,1342,Bals,Zea mays ssp. parviglumis,no,Zv.0420_P3_P3_P1.2.1.1,no,leaf,May262023,A11,1,1
PN1_SID12,Zea_mays,Zx.0340,2410,Chal,Zea mays ssp. mexicana,no,Zx.0340_P2_P2_P2.1.1.1,no,leaf,May262023,A12,1,1
PN1_SID13,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P3_P5.3.1.1,no,leaf,May262023,B01,1,1
PN1_SID14,Zea_mays,Zx.0510,1597,Mesa,Zea mays ssp. mexicana,no,Zx.0510_P1_P5_P1.2.1.1,yes,leaf,May262023,B02,1,1
PN1_SID15,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,B03,1,1
PN1_SID16,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P2_P5_P4.4.1.1,no,leaf,May262023,B04,1,1
PN1_SID17,Zea_mays,Zx.0340,2410,Chal,Zea mays ssp. mexicana,no,Zx.0340_P2_P2_P2.2.1.1,no,leaf,May262023,B05,1,1
PN1_SID18,Zea_mays,Zv.0240,1422,Bals,Zea mays ssp. parviglumis,no,Zv.0240_P2_P3_P2.1.1.1,no,leaf,May262023,B06,1,1
PN1_SID19,Zea_mays,Zh.0020,1225,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0020_P3_P3_P1.5.1.1,no,leaf,May262023,B07,1,1
PN1_SID20,Zea_mays,Zx.0470,1574,Mesa,Zea mays ssp. mexicana,no,Zx.0470_P2_P4_P1.2.1.1,no,leaf,May262023,B08,1,1
PN1_SID21,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P2_P1_P2.3.1.1,no,leaf,May262023,B09,1,1
PN1_SID22,Zea_mays,Zv.0410,1450,Bals,Zea mays ssp. parviglumis,no,Zv.0410_P2_P3_P2.2.1.1,no,leaf,May262023,B10,1,1
PN1_SID23,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,B11,1,1
PN1_SID24,Zea_mays,Zx.0520,1710,Mesa,Zea mays ssp. mexicana,no,Zx.0520_P4_P1_P1.2.1.1,no,leaf,May262023,B12,1,1
PN1_SID25,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P2_P1.2.1.1,no,leaf,May262023,C01,1,1
PN1_SID26,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P1_P3.1.1.1,no,leaf,May262023,C02,1,1
PN1_SID27,Zea_mays,Zx.0350,2102,Mesa,Zea mays ssp. mexicana,no,Zx.0350_P1_P3_P2.1.1.1,no,leaf,May262023,C03,1,1
PN1_SID28,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P4_P4.4.1.1,no,leaf,May262023,C04,1,1
PN1_SID29,Zea_mays,Zv.0210,635,Bals,Zea mays ssp. parviglumis,no,Zv.0210_P1_P3_P2.1.1.1,no,leaf,May262023,C05,1,1
PN1_SID30,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P5_P1.3.1.1,no,leaf,May262023,C06,1,1
PN1_SID31,Zea_mays,Zx.0340,2410,Chal,Zea mays ssp. mexicana,no,Zx.0340_P2_P1_P2.4.1.1,no,leaf,May262023,C07,1,1
PN1_SID32,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P5_P3.4.1.1,no,leaf,May262023,C08,1,1
PN1_SID33,Zea_mays,Zv.0310,1345,Bals,Zea mays ssp. parviglumis,no,Zv.0310_P3_P4_P2.2.1.1,no,leaf,May262023,C09,1,1
PN1_SID34,Zea_mays,Zx.0370,2012,Mesa,Zea mays ssp. mexicana,no,Zx.0370_P2_P5_P1.1.1.1,no,leaf,May262023,C10,1,1
PN1_SID35,Zea_mays,Zh.0020,1225,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0020_P3_P3_P1.2.1.1,no,leaf,May262023,C11,1,1
PN1_SID36,Zea_mays,Zv.0280,832,Bals,Zea mays ssp. parviglumis,no,Zv.0280_P1_P4_P1.2.1.1,no,leaf,May262023,C12,1,1
PN1_SID37,Zea_mays,Zv.0040,300,Bals,Zea mays ssp. parviglumis,no,Zv.0040_P3_P1_P1.2.1.1,no,leaf,May262023,D01,1,1
PN1_SID38,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P5_P1.2.1.1,no,leaf,May262023,D02,1,1
PN1_SID39,Zea_mays,Zv.0080,1580,Bals,Zea mays ssp. parviglumis,no,Zv.0080_P2_P4_P1.2.1.1,no,leaf,May262023,D03,1,1
PN1_SID40,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,D04,1,1
PN1_SID41,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P3_P3.1.1.1,no,leaf,May262023,D05,1,1
PN1_SID42,Zea_mays,Zv.0160,834,Bals,Zea mays ssp. parviglumis,no,Zv.0160_P4_P1_P1.2.1.1,no,leaf,May262023,D06,1,1
PN1_SID43,Zea_mays,Zx.0030,2480,Chal,Zea mays ssp. mexicana,no,Zx.0030_P2_P2_P2.2.1.1,no,leaf,May262023,D07,1,1
PN1_SID44,Zea_mays,Zx.0500,1550,Mesa,Zea mays ssp. mexicana,no,Zx.0500_P2_P3_P2.1.1.1,no,leaf,May262023,D08,1,1
PN1_SID45,Zea_mays,Zx.0090,2311,Chal,Zea mays ssp. mexicana,no,Zx.0090_P2_P3_P1.2.1.1,no,leaf,May262023,D09,1,1
PN1_SID46,Zea_mays,Zv.0230,958,Bals,Zea mays ssp. parviglumis,no,Zv.0230_P1_P3_P1.2.1.1,no,leaf,May262023,D10,1,1
PN1_SID47,Zea_mays,Zl.0040,982,Zlux,Zea luxurians,no,Zl.0040_P4_P1_P2.2.1.1,no,leaf,May262023,D11,1,1
PN1_SID48,Zea_mays,Zl.0040,982,Zlux,Zea luxurians,no,Zl.0040_P4_P3_P1.3.1.1,no,leaf,May262023,D12,1,1
PN1_SID49,Zea_mays,Zv.0470,1139,Bals,Zea mays ssp. parviglumis,no,Zv.0470_P2_P4_P1.2.1.1,no,leaf,May262023,E01,1,1
PN1_SID50,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P1_P4.4.1.1,no,leaf,May262023,E02,1,1
PN1_SID51,Zea_mays,Zv.0100,1183,Bals,Zea mays ssp. parviglumis,no,Zv.0100_P3_P1_P2.2.1.1,no,leaf,May262023,E03,1,1
PN1_SID52,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,E04,1,1
PN1_SID53,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P2_P4_P1.4.1.1,no,leaf,May262023,E05,1,1
PN1_SID54,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,E06,1,1
PN1_SID55,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P4_P2.3.1.1,no,leaf,May262023,E07,1,1
PN1_SID56,Zea_mays,Zd.0040,1393,Zdip,Zea diploperennis,no,Zd.0040_P1_P4_P1.1.1.1,no,leaf,May262023,E08,1,1
PN1_SID57,Zea_mays,Zv.0490,1153,Bals,Zea mays ssp. parviglumis,no,Zv.0490_P4_P2_P2.2.1.1,no,leaf,May262023,E09,1,1
PN1_SID58,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P2_P3_P2.2.1.1,no,leaf,May262023,E10,1,1
PN1_SID59,Zea_mays,Zv.0280,832,Bals,Zea mays ssp. parviglumis,no,Zv.0280_P3_P5_P1.2.1.1,no,leaf,May262023,E11,1,1
PN1_SID60,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P2_P4_P1.1.1.1,no,leaf,May262023,E12,1,1
PN1_SID61,Zea_mays,Zx.0360,1855,Mesa,Zea mays ssp. mexicana,no,Zx.0360_P2_P1_P1.2.1.1,no,leaf,May262023,F01,1,1
PN1_SID62,Zea_mays,Zx.0540,1860,Dura,Zea mays ssp. mexicana,no,Zx.0540_P3_P3_P4.1.1.1,no,leaf,May262023,F02,1,1
PN1_SID63,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P3_P3.2.1.1,no,leaf,May262023,F03,1,1
PN1_SID64,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,F04,1,1
PN1_SID65,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P2_P3_P2.2.1.1,no,leaf,May262023,F05,1,1
PN1_SID66,Zea_mays,Zx.0540,1860,Dura,Zea mays ssp. mexicana,no,Zx.0540_P3_P4_P3.4.1.1,no,leaf,May262023,F06,1,1
PN1_SID67,Zea_mays,Zl.0020,895,Zlux,Zea luxurians,no,Zl.0020_P3_P3_P2.1.1.1,no,leaf,May262023,F07,1,1
PN1_SID68,Zea_mays,Zd.0040,1393,Zdip,Zea diploperennis,no,Zd.0040_P1_P1_P1.1.1.1,no,leaf,May262023,F08,1,1
PN1_SID69,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P3_P1.2.1.1,no,leaf,May262023,F09,1,1
PN1_SID70,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P3_P2.1.1.1,no,leaf,May262023,F10,1,1
PN1_SID71,Zea_mays,Zv.0070,1020,Bals,Zea mays ssp. parviglumis,no,Zv.0070_P4_P5_P2.1.1.1,no,leaf,May262023,F11,1,1
PN1_SID72,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P1_P1.2.1.1,no,leaf,May262023,F12,1,1
PN1_SID73,Zea_mays,Zx.0490,1880,Mesa,Zea mays ssp. mexicana,no,Zx.0490_P4_P3_P1.2.1.1,no,leaf,May262023,G01,1,1
PN1_SID74,Zea_mays,Zv.0240,1422,Bals,Zea mays ssp. parviglumis,no,Zv.0240_P2_P4_P1.2.1.1,no,leaf,May262023,G02,1,1
PN1_SID75,Zea_mays,Zx.0350,2102,Mesa,Zea mays ssp. mexicana,no,Zx.0350_P1_P2_P2.1.1.1,no,leaf,May262023,G03,1,1
PN1_SID76,Zea_mays,Zx.0430,1775,Mesa,Zea mays ssp. mexicana,no,Zx.0430_P1_P4_P1.1.1.1,no,leaf,May262023,G04,1,1
PN1_SID77,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,G05,1,1
PN1_SID78,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P2_P2.1.1.1,no,leaf,May262023,G06,1,1
PN1_SID79,Zea_mays,Zv.0370,1170,Bals,Zea mays ssp. parviglumis,no,Zv.0370_P3_P2_P2.1.1.1,no,leaf,May262023,G07,1,1
PN1_SID80,Zea_mays,Zv.0270,1654,Bals,Zea mays ssp. parviglumis,no,Zv.0270_P2_P4_P1.2.1.1,no,leaf,May262023,G08,1,1
PN1_SID81,Zea_mays,Zx.0570,1951,Nobo,Zea mays ssp. mexicana,no,Zx.0570_P2_P2_P3.3.1.1,no,leaf,May262023,G09,1,1
