seed_origin,old_line_id,old_accession_id,genotype,accession_id,taxa,gen,F1,BC1,BC2,S1,S2,S3,S4,blk,batch,sequencing-id,notes
PV23-7370,JSG-LCL-566_P2_P1_P1.1.1.1-blk,JSG-LCL-566,Zx.0410_P2_P1_P1.1.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P1,P1,1,1,1,,B,A,PN3_SID199,
PV23-7371,JSG-LCL-566_P2_P2_P1.1.1.1-blk,JSG-LCL-566,Zx.0410_P2_P2_P1.1.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P2,P1,1,1,1,,B,A,PN3_SID200,
PV23-7372,JSG-LCL-566_P2_P2_P1.2.1.1-blk,JSG-LCL-566,Zx.0410_P2_P2_P1.2.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P2,P1,2,1,1,,B,A,PN3_SID201,
PV23-7373,JSG-LCL-566_P2_P3_P1.1.1.1-blk,JSG-LCL-566,Zx.0410_P2_P3_P1.1.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P3,P1,1,1,1,,B,A,PN3_SID202,
PV23-7375,JSG-LCL-566_P2_P4_P1.1.1.1-blk,JSG-LCL-566,Zx.0410_P2_P4_P1.1.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P4,P1,1,1,1,,B,A,PN3_SID204,
PV23-7376,JSG-LCL-566_P2_P4_P1.2.1.1-blk,JSG-LCL-566,Zx.0410_P2_P4_P1.2.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P4,P1,2,1,1,,B,A,PN3_SID205,
PV23-7377,JSG-LCL-566_P2_P4_P2.1.1.1-blk,JSG-LCL-566,Zx.0410_P2_P4_P2.1.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P4,P2,1,1,1,,B,A,PN3_SID206,
PV23-7378,JSG-LCL-566_P2_P4_P2.2.1.1-blk,JSG-LCL-566,Zx.0410_P2_P4_P2.2.1.1.B,Zx.0410,Mesa,BC2S3-blk,P2,P4,P2,2,1,1,,B,A,PN3_SID207,
PV23-7379,JACV-T-018_P2_P1_P1.1.1.1-blk,JACV-T-018,Zx.0370_P2_P1_P1.1.1.1.B,Zx.0370,Mesa,BC2S3-blk,P2,P1,P1,1,1,1,,B,A,PN3_SID208,
PV23-7380,JACV-T-018_P2_P1_P1.2.1.1-blk,JACV-T-018,Zx.0370_P2_P1_P1.2.1.1.B,Zx.0370,Mesa,BC2S3-blk,P2,P1,P1,2,1,1,,B,A,PN3_SID209,
