Sample_Name,Seq_ID
A01.fastq.gz,PN1_SID1.fastq.gz
A02.fastq.gz,PN1_SID2.fastq.gz
A03.fastq.gz,PN1_SID3.fastq.gz
A04.fastq.gz,PN1_SID4.fastq.gz
A05.fastq.gz,PN1_SID5.fastq.gz
A06.fastq.gz,PN1_SID6.fastq.gz
A07.fastq.gz,PN1_SID7.fastq.gz
A08.fastq.gz,PN1_SID8.fastq.gz
A09.fastq.gz,PN1_SID9.fastq.gz
A10.fastq.gz,PN1_SID10.fastq.gz
A11.fastq.gz,PN1_SID11.fastq.gz
A12.fastq.gz,PN1_SID12.fastq.gz
B01.fastq.gz,PN1_SID13.fastq.gz
B02.fastq.gz,PN1_SID14.fastq.gz
B03.fastq.gz,PN1_SID15.fastq.gz
B04.fastq.gz,PN1_SID16.fastq.gz
B05.fastq.gz,PN1_SID17.fastq.gz
B06.fastq.gz,PN1_SID18.fastq.gz
B07.fastq.gz,PN1_SID19.fastq.gz
B08.fastq.gz,PN1_SID20.fastq.gz
B09.fastq.gz,PN1_SID21.fastq.gz
B10.fastq.gz,PN1_SID22.fastq.gz
B11.fastq.gz,PN1_SID23.fastq.gz
B12.fastq.gz,PN1_SID24.fastq.gz
C01.fastq.gz,PN1_SID25.fastq.gz
C02.fastq.gz,PN1_SID26.fastq.gz
C03.fastq.gz,PN1_SID27.fastq.gz
C04.fastq.gz,PN1_SID28.fastq.gz
C05.fastq.gz,PN1_SID29.fastq.gz
C06.fastq.gz,PN1_SID30.fastq.gz
C07.fastq.gz,PN1_SID31.fastq.gz
C08.fastq.gz,PN1_SID32.fastq.gz
C09.fastq.gz,PN1_SID33.fastq.gz
C10.fastq.gz,PN1_SID34.fastq.gz
C11.fastq.gz,PN1_SID35.fastq.gz
C12.fastq.gz,PN1_SID36.fastq.gz
D01.fastq.gz,PN1_SID37.fastq.gz
D02.fastq.gz,PN1_SID38.fastq.gz
D03.fastq.gz,PN1_SID39.fastq.gz
D04.fastq.gz,PN1_SID40.fastq.gz
D05.fastq.gz,PN1_SID41.fastq.gz
D06.fastq.gz,PN1_SID42.fastq.gz
D07.fastq.gz,PN1_SID43.fastq.gz
D08.fastq.gz,PN1_SID44.fastq.gz
D09.fastq.gz,PN1_SID45.fastq.gz
D10.fastq.gz,PN1_SID46.fastq.gz
D11.fastq.gz,PN1_SID47.fastq.gz
D12.fastq.gz,PN1_SID48.fastq.gz
E01.fastq.gz,PN1_SID49.fastq.gz
E02.fastq.gz,PN1_SID50.fastq.gz
E03.fastq.gz,PN1_SID51.fastq.gz
E04.fastq.gz,PN1_SID52.fastq.gz
E05.fastq.gz,PN1_SID53.fastq.gz
E06.fastq.gz,PN1_SID54.fastq.gz
E07.fastq.gz,PN1_SID55.fastq.gz
E08.fastq.gz,PN1_SID56.fastq.gz
E09.fastq.gz,PN1_SID57.fastq.gz
E10.fastq.gz,PN1_SID58.fastq.gz
E11.fastq.gz,PN1_SID59.fastq.gz
E12.fastq.gz,PN1_SID60.fastq.gz
F01.fastq.gz,PN1_SID61.fastq.gz
F02.fastq.gz,PN1_SID62.fastq.gz
F03.fastq.gz,PN1_SID63.fastq.gz
F04.fastq.gz,PN1_SID64.fastq.gz
F05.fastq.gz,PN1_SID65.fastq.gz
F06.fastq.gz,PN1_SID66.fastq.gz
F07.fastq.gz,PN1_SID67.fastq.gz
F08.fastq.gz,PN1_SID68.fastq.gz
F09.fastq.gz,PN1_SID69.fastq.gz
F10.fastq.gz,PN1_SID70.fastq.gz
F11.fastq.gz,PN1_SID71.fastq.gz
F12.fastq.gz,PN1_SID72.fastq.gz
G01.fastq.gz,PN1_SID73.fastq.gz
G02.fastq.gz,PN1_SID74.fastq.gz
G03.fastq.gz,PN1_SID75.fastq.gz
G04.fastq.gz,PN1_SID76.fastq.gz
G05.fastq.gz,PN1_SID77.fastq.gz
G06.fastq.gz,PN1_SID78.fastq.gz
G07.fastq.gz,PN1_SID79.fastq.gz
G08.fastq.gz,PN1_SID80.fastq.gz
G09.fastq.gz,PN1_SID81.fastq.gz
G10.fastq.gz,PN1_SID82.fastq.gz
G11.fastq.gz,PN1_SID83.fastq.gz
G12.fastq.gz,PN1_SID84.fastq.gz
H01.fastq.gz,PN1_SID85.fastq.gz
H02.fastq.gz,PN1_SID86.fastq.gz
H03.fastq.gz,PN1_SID87.fastq.gz
H04.fastq.gz,PN1_SID88.fastq.gz
H05.fastq.gz,PN1_SID89.fastq.gz
H06.fastq.gz,PN1_SID90.fastq.gz
H07.fastq.gz,PN1_SID91.fastq.gz
H08.fastq.gz,PN1_SID92.fastq.gz
H09.fastq.gz,PN1_SID93.fastq.gz
H10.fastq.gz,PN1_SID94.fastq.gz
H11.fastq.gz,PN1_SID95.fastq.gz
H12.fastq.gz,PN1_SID96.fastq.gz
A01.fastq.gz,PN2_SID97.fastq.gz
A02.fastq.gz,PN2_SID98.fastq.gz
A03.fastq.gz,PN2_SID99.fastq.gz
A04.fastq.gz,PN2_SID100.fastq.gz
A05.fastq.gz,PN2_SID101.fastq.gz
A06.fastq.gz,PN2_SID102.fastq.gz
A07.fastq.gz,PN2_SID103.fastq.gz
A08.fastq.gz,PN2_SID104.fastq.gz
A09.fastq.gz,PN2_SID105.fastq.gz
A10.fastq.gz,PN2_SID106.fastq.gz
A11.fastq.gz,PN2_SID107.fastq.gz
A12.fastq.gz,PN2_SID108.fastq.gz
B01.fastq.gz,PN2_SID109.fastq.gz
B02.fastq.gz,PN2_SID110.fastq.gz
B03.fastq.gz,PN2_SID111.fastq.gz
B04.fastq.gz,PN2_SID112.fastq.gz
B05.fastq.gz,PN2_SID113.fastq.gz
B06.fastq.gz,PN2_SID114.fastq.gz
B07.fastq.gz,PN2_SID115.fastq.gz
B08.fastq.gz,PN2_SID116.fastq.gz
B09.fastq.gz,PN2_SID117.fastq.gz
B10.fastq.gz,PN2_SID118.fastq.gz
B11.fastq.gz,PN2_SID119.fastq.gz
B12.fastq.gz,PN2_SID120.fastq.gz
C01.fastq.gz,PN2_SID121.fastq.gz
C02.fastq.gz,PN2_SID122.fastq.gz
C03.fastq.gz,PN2_SID123.fastq.gz
C04.fastq.gz,PN2_SID124.fastq.gz
C05.fastq.gz,PN2_SID125.fastq.gz
C06.fastq.gz,PN2_SID126.fastq.gz
C07.fastq.gz,PN2_SID127.fastq.gz
C08.fastq.gz,PN2_SID128.fastq.gz
C09.fastq.gz,PN2_SID129.fastq.gz
C10.fastq.gz,PN2_SID130.fastq.gz
C11.fastq.gz,PN2_SID131.fastq.gz
C12.fastq.gz,PN2_SID132.fastq.gz
D01.fastq.gz,PN2_SID133.fastq.gz
D02.fastq.gz,PN2_SID134.fastq.gz
D03.fastq.gz,PN2_SID135.fastq.gz
D04.fastq.gz,PN2_SID136.fastq.gz
D05.fastq.gz,PN2_SID137.fastq.gz
D06.fastq.gz,PN2_SID138.fastq.gz
D07.fastq.gz,PN2_SID139.fastq.gz
D08.fastq.gz,PN2_SID140.fastq.gz
D09.fastq.gz,PN2_SID141.fastq.gz
D10.fastq.gz,PN2_SID142.fastq.gz
D11.fastq.gz,PN2_SID143.fastq.gz
D12.fastq.gz,PN2_SID144.fastq.gz
E01.fastq.gz,PN2_SID145.fastq.gz
E02.fastq.gz,PN2_SID146.fastq.gz
E03.fastq.gz,PN2_SID147.fastq.gz
E04.fastq.gz,PN2_SID148.fastq.gz
E05.fastq.gz,PN2_SID149.fastq.gz
E06.fastq.gz,PN2_SID150.fastq.gz
E07.fastq.gz,PN2_SID151.fastq.gz
E08.fastq.gz,PN2_SID152.fastq.gz
E09.fastq.gz,PN2_SID153.fastq.gz
E10.fastq.gz,PN2_SID154.fastq.gz
E11.fastq.gz,PN2_SID155.fastq.gz
E12.fastq.gz,PN2_SID156.fastq.gz
F01.fastq.gz,PN2_SID157.fastq.gz
F02.fastq.gz,PN2_SID158.fastq.gz
F03.fastq.gz,PN2_SID159.fastq.gz
F04.fastq.gz,PN2_SID160.fastq.gz
F05.fastq.gz,PN2_SID161.fastq.gz
F06.fastq.gz,PN2_SID162.fastq.gz
F07.fastq.gz,PN2_SID163.fastq.gz
F08.fastq.gz,PN2_SID164.fastq.gz
F09.fastq.gz,PN2_SID165.fastq.gz
F10.fastq.gz,PN2_SID166.fastq.gz
F11.fastq.gz,PN2_SID167.fastq.gz
F12.fastq.gz,PN2_SID168.fastq.gz
G01.fastq.gz,PN2_SID169.fastq.gz
G02.fastq.gz,PN2_SID170.fastq.gz
G03.fastq.gz,PN2_SID171.fastq.gz
G04.fastq.gz,PN2_SID172.fastq.gz
G05.fastq.gz,PN2_SID173.fastq.gz
G06.fastq.gz,PN2_SID174.fastq.gz
G07.fastq.gz,PN2_SID175.fastq.gz
G08.fastq.gz,PN2_SID176.fastq.gz
G09.fastq.gz,PN2_SID177.fastq.gz
G10.fastq.gz,PN2_SID178.fastq.gz
G11.fastq.gz,PN2_SID179.fastq.gz
G12.fastq.gz,PN2_SID180.fastq.gz
H01.fastq.gz,PN2_SID181.fastq.gz
H02.fastq.gz,PN2_SID182.fastq.gz
H03.fastq.gz,PN2_SID183.fastq.gz
H04.fastq.gz,PN2_SID184.fastq.gz
H05.fastq.gz,PN2_SID185.fastq.gz
H06.fastq.gz,PN2_SID186.fastq.gz
H07.fastq.gz,PN2_SID187.fastq.gz
H08.fastq.gz,PN2_SID188.fastq.gz
H09.fastq.gz,PN2_SID189.fastq.gz
H10.fastq.gz,PN2_SID190.fastq.gz
H11.fastq.gz,PN2_SID191.fastq.gz
H12.fastq.gz,PN2_SID192.fastq.gz
A01.fastq.gz,PN3_SID193.fastq.gz
A02.fastq.gz,PN3_SID194.fastq.gz
A03.fastq.gz,PN3_SID195.fastq.gz
A04.fastq.gz,PN3_SID196.fastq.gz
A05.fastq.gz,PN3_SID197.fastq.gz
A06.fastq.gz,PN3_SID198.fastq.gz
A07.fastq.gz,PN3_SID199.fastq.gz
A08.fastq.gz,PN3_SID200.fastq.gz
A09.fastq.gz,PN3_SID201.fastq.gz
A10.fastq.gz,PN3_SID202.fastq.gz
A11.fastq.gz,PN3_SID203.fastq.gz
A12.fastq.gz,PN3_SID204.fastq.gz
B01.fastq.gz,PN3_SID205.fastq.gz
B02.fastq.gz,PN3_SID206.fastq.gz
B03.fastq.gz,PN3_SID207.fastq.gz
B04.fastq.gz,PN3_SID208.fastq.gz
B05.fastq.gz,PN3_SID209.fastq.gz
B06.fastq.gz,PN3_SID210.fastq.gz
B07.fastq.gz,PN3_SID211.fastq.gz
B08.fastq.gz,PN3_SID212.fastq.gz
B09.fastq.gz,PN3_SID213.fastq.gz
B10.fastq.gz,PN3_SID214.fastq.gz
B11.fastq.gz,PN3_SID215.fastq.gz
B12.fastq.gz,PN3_SID216.fastq.gz
C01.fastq.gz,PN3_SID217.fastq.gz
C02.fastq.gz,PN3_SID218.fastq.gz
C03.fastq.gz,PN3_SID219.fastq.gz
C04.fastq.gz,PN3_SID220.fastq.gz
C05.fastq.gz,PN3_SID221.fastq.gz
C06.fastq.gz,PN3_SID222.fastq.gz
C07.fastq.gz,PN3_SID223.fastq.gz
C08.fastq.gz,PN3_SID224.fastq.gz
C09.fastq.gz,PN3_SID225.fastq.gz
C10.fastq.gz,PN3_SID226.fastq.gz
C11.fastq.gz,PN3_SID227.fastq.gz
C12.fastq.gz,PN3_SID228.fastq.gz
D01.fastq.gz,PN3_SID229.fastq.gz
D02.fastq.gz,PN3_SID230.fastq.gz
D03.fastq.gz,PN3_SID231.fastq.gz
D04.fastq.gz,PN3_SID232.fastq.gz
D05.fastq.gz,PN3_SID233.fastq.gz
D06.fastq.gz,PN3_SID234.fastq.gz
D07.fastq.gz,PN3_SID235.fastq.gz
D08.fastq.gz,PN3_SID236.fastq.gz
D09.fastq.gz,PN3_SID237.fastq.gz
D10.fastq.gz,PN3_SID238.fastq.gz
D11.fastq.gz,PN3_SID239.fastq.gz
D12.fastq.gz,PN3_SID240.fastq.gz
E01.fastq.gz,PN3_SID241.fastq.gz
E02.fastq.gz,PN3_SID242.fastq.gz
E03.fastq.gz,PN3_SID243.fastq.gz
E04.fastq.gz,PN3_SID244.fastq.gz
E05.fastq.gz,PN3_SID245.fastq.gz
E06.fastq.gz,PN3_SID246.fastq.gz
E07.fastq.gz,PN3_SID247.fastq.gz
E08.fastq.gz,PN3_SID248.fastq.gz
E09.fastq.gz,PN3_SID249.fastq.gz
E10.fastq.gz,PN3_SID250.fastq.gz
E11.fastq.gz,PN3_SID251.fastq.gz
E12.fastq.gz,PN3_SID252.fastq.gz
F01.fastq.gz,PN3_SID253.fastq.gz
F02.fastq.gz,PN3_SID254.fastq.gz
F03.fastq.gz,PN3_SID255.fastq.gz
F04.fastq.gz,PN3_SID256.fastq.gz
F05.fastq.gz,PN3_SID257.fastq.gz
F06.fastq.gz,PN3_SID258.fastq.gz
F07.fastq.gz,PN3_SID259.fastq.gz
F08.fastq.gz,PN3_SID260.fastq.gz
F09.fastq.gz,PN3_SID261.fastq.gz
F10.fastq.gz,PN3_SID262.fastq.gz
F11.fastq.gz,PN3_SID263.fastq.gz
F12.fastq.gz,PN3_SID264.fastq.gz
G01.fastq.gz,PN3_SID265.fastq.gz
G02.fastq.gz,PN3_SID266.fastq.gz
G03.fastq.gz,PN3_SID267.fastq.gz
G04.fastq.gz,PN3_SID268.fastq.gz
G05.fastq.gz,PN3_SID269.fastq.gz
G06.fastq.gz,PN3_SID270.fastq.gz
G07.fastq.gz,PN3_SID271.fastq.gz
G08.fastq.gz,PN3_SID272.fastq.gz
G09.fastq.gz,PN3_SID273.fastq.gz
G10.fastq.gz,PN3_SID274.fastq.gz
G11.fastq.gz,PN3_SID275.fastq.gz
G12.fastq.gz,PN3_SID276.fastq.gz
H01.fastq.gz,PN3_SID277.fastq.gz
H02.fastq.gz,PN3_SID278.fastq.gz
H03.fastq.gz,PN3_SID279.fastq.gz
H04.fastq.gz,PN3_SID280.fastq.gz
H05.fastq.gz,PN3_SID281.fastq.gz
H06.fastq.gz,PN3_SID282.fastq.gz
H07.fastq.gz,PN3_SID283.fastq.gz
H08.fastq.gz,PN3_SID284.fastq.gz
H09.fastq.gz,PN3_SID285.fastq.gz
H10.fastq.gz,PN3_SID286.fastq.gz
H11.fastq.gz,PN3_SID287.fastq.gz
H12.fastq.gz,PN3_SID288.fastq.gz
A01.fastq.gz,PN4_SID289.fastq.gz
A02.fastq.gz,PN4_SID290.fastq.gz
A03.fastq.gz,PN4_SID291.fastq.gz
A04.fastq.gz,PN4_SID292.fastq.gz
A05.fastq.gz,PN4_SID293.fastq.gz
A06.fastq.gz,PN4_SID294.fastq.gz
A07.fastq.gz,PN4_SID295.fastq.gz
A08.fastq.gz,PN4_SID296.fastq.gz
A09.fastq.gz,PN4_SID297.fastq.gz
A10.fastq.gz,PN4_SID298.fastq.gz
A11.fastq.gz,PN4_SID299.fastq.gz
A12.fastq.gz,PN4_SID300.fastq.gz
B01.fastq.gz,PN4_SID301.fastq.gz
B02.fastq.gz,PN4_SID302.fastq.gz
B03.fastq.gz,PN4_SID303.fastq.gz
B04.fastq.gz,PN4_SID304.fastq.gz
B05.fastq.gz,PN4_SID305.fastq.gz
B06.fastq.gz,PN4_SID306.fastq.gz
B07.fastq.gz,PN4_SID307.fastq.gz
B08.fastq.gz,PN4_SID308.fastq.gz
B09.fastq.gz,PN4_SID309.fastq.gz
B10.fastq.gz,PN4_SID310.fastq.gz
B11.fastq.gz,PN4_SID311.fastq.gz
B12.fastq.gz,PN4_SID312.fastq.gz
C01.fastq.gz,PN4_SID313.fastq.gz
C02.fastq.gz,PN4_SID314.fastq.gz
C03.fastq.gz,PN4_SID315.fastq.gz
C04.fastq.gz,PN4_SID316.fastq.gz
C05.fastq.gz,PN4_SID317.fastq.gz
C06.fastq.gz,PN4_SID318.fastq.gz
C07.fastq.gz,PN4_SID319.fastq.gz
C08.fastq.gz,PN4_SID320.fastq.gz
C09.fastq.gz,PN4_SID321.fastq.gz
C10.fastq.gz,PN4_SID322.fastq.gz
C11.fastq.gz,PN4_SID323.fastq.gz
C12.fastq.gz,PN4_SID324.fastq.gz
D01.fastq.gz,PN4_SID325.fastq.gz
D02.fastq.gz,PN4_SID326.fastq.gz
D03.fastq.gz,PN4_SID327.fastq.gz
D04.fastq.gz,PN4_SID328.fastq.gz
D05.fastq.gz,PN4_SID329.fastq.gz
D06.fastq.gz,PN4_SID330.fastq.gz
D07.fastq.gz,PN4_SID331.fastq.gz
D08.fastq.gz,PN4_SID332.fastq.gz
D09.fastq.gz,PN4_SID333.fastq.gz
D10.fastq.gz,PN4_SID334.fastq.gz
D11.fastq.gz,PN4_SID335.fastq.gz
D12.fastq.gz,PN4_SID336.fastq.gz
E01.fastq.gz,PN4_SID337.fastq.gz
E02.fastq.gz,PN4_SID338.fastq.gz
E03.fastq.gz,PN4_SID339.fastq.gz
E04.fastq.gz,PN4_SID340.fastq.gz
E05.fastq.gz,PN4_SID341.fastq.gz
E06.fastq.gz,PN4_SID342.fastq.gz
E07.fastq.gz,PN4_SID343.fastq.gz
E08.fastq.gz,PN4_SID344.fastq.gz
E09.fastq.gz,PN4_SID345.fastq.gz
E10.fastq.gz,PN4_SID346.fastq.gz
E11.fastq.gz,PN4_SID347.fastq.gz
E12.fastq.gz,PN4_SID348.fastq.gz
F01.fastq.gz,PN4_SID349.fastq.gz
F02.fastq.gz,PN4_SID350.fastq.gz
F03.fastq.gz,PN4_SID351.fastq.gz
F04.fastq.gz,PN4_SID352.fastq.gz
F05.fastq.gz,PN4_SID353.fastq.gz
F06.fastq.gz,PN4_SID354.fastq.gz
F07.fastq.gz,PN4_SID355.fastq.gz
F08.fastq.gz,PN4_SID356.fastq.gz
F09.fastq.gz,PN4_SID357.fastq.gz
F10.fastq.gz,PN4_SID358.fastq.gz
F11.fastq.gz,PN4_SID359.fastq.gz
F12.fastq.gz,PN4_SID360.fastq.gz
G01.fastq.gz,PN4_SID361.fastq.gz
G02.fastq.gz,PN4_SID362.fastq.gz
G03.fastq.gz,PN4_SID363.fastq.gz
G04.fastq.gz,PN4_SID364.fastq.gz
G05.fastq.gz,PN4_SID365.fastq.gz
G06.fastq.gz,PN4_SID366.fastq.gz
G07.fastq.gz,PN4_SID367.fastq.gz
G08.fastq.gz,PN4_SID368.fastq.gz
G09.fastq.gz,PN4_SID369.fastq.gz
G10.fastq.gz,PN4_SID370.fastq.gz
G11.fastq.gz,PN4_SID371.fastq.gz
G12.fastq.gz,PN4_SID372.fastq.gz
H01.fastq.gz,PN4_SID373.fastq.gz
H02.fastq.gz,PN4_SID374.fastq.gz
H03.fastq.gz,PN4_SID375.fastq.gz
H04.fastq.gz,PN4_SID376.fastq.gz
H05.fastq.gz,PN4_SID377.fastq.gz
H06.fastq.gz,PN4_SID378.fastq.gz
H07.fastq.gz,PN4_SID379.fastq.gz
H08.fastq.gz,PN4_SID380.fastq.gz
H09.fastq.gz,PN4_SID381.fastq.gz
H10.fastq.gz,PN4_SID382.fastq.gz
H11.fastq.gz,PN4_SID383.fastq.gz
H12.fastq.gz,PN4_SID384.fastq.gz
A01.fastq.gz,PN5_SID385.fastq.gz
A02.fastq.gz,PN5_SID386.fastq.gz
A03.fastq.gz,PN5_SID387.fastq.gz
A04.fastq.gz,PN5_SID388.fastq.gz
A05.fastq.gz,PN5_SID389.fastq.gz
A06.fastq.gz,PN5_SID390.fastq.gz
A07.fastq.gz,PN5_SID391.fastq.gz
A08.fastq.gz,PN5_SID392.fastq.gz
A09.fastq.gz,PN5_SID393.fastq.gz
A10.fastq.gz,PN5_SID394.fastq.gz
A11.fastq.gz,PN5_SID395.fastq.gz
A12.fastq.gz,PN5_SID396.fastq.gz
B01.fastq.gz,PN5_SID397.fastq.gz
B02.fastq.gz,PN5_SID398.fastq.gz
B03.fastq.gz,PN5_SID399.fastq.gz
B04.fastq.gz,PN5_SID400.fastq.gz
B05.fastq.gz,PN5_SID401.fastq.gz
B06.fastq.gz,PN5_SID402.fastq.gz
B07.fastq.gz,PN5_SID403.fastq.gz
B08.fastq.gz,PN5_SID404.fastq.gz
B09.fastq.gz,PN5_SID405.fastq.gz
B10.fastq.gz,PN5_SID406.fastq.gz
B11.fastq.gz,PN5_SID407.fastq.gz
B12.fastq.gz,PN5_SID408.fastq.gz
C01.fastq.gz,PN5_SID409.fastq.gz
C02.fastq.gz,PN5_SID410.fastq.gz
C03.fastq.gz,PN5_SID411.fastq.gz
C04.fastq.gz,PN5_SID412.fastq.gz
C05.fastq.gz,PN5_SID413.fastq.gz
C06.fastq.gz,PN5_SID414.fastq.gz
C07.fastq.gz,PN5_SID415.fastq.gz
C08.fastq.gz,PN5_SID416.fastq.gz
C09.fastq.gz,PN5_SID417.fastq.gz
C10.fastq.gz,PN5_SID418.fastq.gz
C11.fastq.gz,PN5_SID419.fastq.gz
C12.fastq.gz,PN5_SID420.fastq.gz
D01.fastq.gz,PN5_SID421.fastq.gz
D02.fastq.gz,PN5_SID422.fastq.gz
D03.fastq.gz,PN5_SID423.fastq.gz
D04.fastq.gz,PN5_SID424.fastq.gz
D05.fastq.gz,PN5_SID425.fastq.gz
D06.fastq.gz,PN5_SID426.fastq.gz
D07.fastq.gz,PN5_SID427.fastq.gz
D08.fastq.gz,PN5_SID428.fastq.gz
D09.fastq.gz,PN5_SID429.fastq.gz
D10.fastq.gz,PN5_SID430.fastq.gz
D11.fastq.gz,PN5_SID431.fastq.gz
D12.fastq.gz,PN5_SID432.fastq.gz
E01.fastq.gz,PN5_SID433.fastq.gz
E02.fastq.gz,PN5_SID434.fastq.gz
E03.fastq.gz,PN5_SID435.fastq.gz
E04.fastq.gz,PN5_SID436.fastq.gz
E05.fastq.gz,PN5_SID437.fastq.gz
E06.fastq.gz,PN5_SID438.fastq.gz
E07.fastq.gz,PN5_SID439.fastq.gz
E08.fastq.gz,PN5_SID440.fastq.gz
E09.fastq.gz,PN5_SID441.fastq.gz
E10.fastq.gz,PN5_SID442.fastq.gz
E11.fastq.gz,PN5_SID443.fastq.gz
E12.fastq.gz,PN5_SID444.fastq.gz
F01.fastq.gz,PN5_SID445.fastq.gz
F02.fastq.gz,PN5_SID446.fastq.gz
F03.fastq.gz,PN5_SID447.fastq.gz
F04.fastq.gz,PN5_SID448.fastq.gz
F05.fastq.gz,PN5_SID449.fastq.gz
F06.fastq.gz,PN5_SID450.fastq.gz
F07.fastq.gz,PN5_SID451.fastq.gz
F08.fastq.gz,PN5_SID452.fastq.gz
F09.fastq.gz,PN5_SID453.fastq.gz
F10.fastq.gz,PN5_SID454.fastq.gz
F11.fastq.gz,PN5_SID455.fastq.gz
F12.fastq.gz,PN5_SID456.fastq.gz
G01.fastq.gz,PN5_SID457.fastq.gz
G02.fastq.gz,PN5_SID458.fastq.gz
G03.fastq.gz,PN5_SID459.fastq.gz
G04.fastq.gz,PN5_SID460.fastq.gz
G05.fastq.gz,PN5_SID461.fastq.gz
G06.fastq.gz,PN5_SID462.fastq.gz
G07.fastq.gz,PN5_SID463.fastq.gz
G08.fastq.gz,PN5_SID464.fastq.gz
G09.fastq.gz,PN5_SID465.fastq.gz
G10.fastq.gz,PN5_SID466.fastq.gz
G11.fastq.gz,PN5_SID467.fastq.gz
G12.fastq.gz,PN5_SID468.fastq.gz
H01.fastq.gz,PN5_SID469.fastq.gz
H02.fastq.gz,PN5_SID470.fastq.gz
H03.fastq.gz,PN5_SID471.fastq.gz
H04.fastq.gz,PN5_SID472.fastq.gz
H05.fastq.gz,PN5_SID473.fastq.gz
H06.fastq.gz,PN5_SID474.fastq.gz
H07.fastq.gz,PN5_SID475.fastq.gz
H08.fastq.gz,PN5_SID476.fastq.gz
H09.fastq.gz,PN5_SID477.fastq.gz
H10.fastq.gz,PN5_SID478.fastq.gz
H11.fastq.gz,PN5_SID479.fastq.gz
H12.fastq.gz,PN5_SID480.fastq.gz
A01.fastq.gz,PN6_SID481.fastq.gz
A02.fastq.gz,PN6_SID482.fastq.gz
A03.fastq.gz,PN6_SID483.fastq.gz
A04.fastq.gz,PN6_SID484.fastq.gz
A05.fastq.gz,PN6_SID485.fastq.gz
A06.fastq.gz,PN6_SID486.fastq.gz
A07.fastq.gz,PN6_SID487.fastq.gz
A08.fastq.gz,PN6_SID488.fastq.gz
A09.fastq.gz,PN6_SID489.fastq.gz
