sample_id	species	accession	genotype	tissue	date	plate_pos	plate	batch
PN1_SID1	Zea_mays	Zd.0010	Zd.0010_P2_P5_P1.4.1.1	leaf	May262023	A01	1	1
PN1_SID2	Zea_mays	Zv.0420	Zv.0420_P3_P4_P2.2.1.1	leaf	May262023	A02	1	1
PN1_SID3	Zea_mays	Zx.0580	Zx.0580_P3_P4_P1.5.1.1	leaf	May262023	A03	1	1
PN1_SID4	Zea_mays	Zx.0520	Zx.0520_P2_P4_P1.2.1.1	leaf	May262023	A04	1	1
PN1_SID5	Zea_mays	Zd.0030	Zd.0030_P2_P2_P3.3.1.1	leaf	May262023	A05	1	1
PN1_SID6	Zea_mays	Zd.0010	Zd.0010_P2_P5_P4.1.1.1	leaf	May262023	A06	1	1
PN1_SID7	Zea_mays	B73	B73	leaf	May262023	A07	1	1
PN1_SID8	Zea_mays	Zx.0400	Zx.0400_P1_P2_P1.2.1.1	leaf	May262023	A08	1	1
PN1_SID9	Zea_mays	Zx.0550	Zx.0550_P4_P3_P2.2.1.1	leaf	May262023	A09	1	1
PN1_SID10	Zea_mays	Zx.0540	Zx.0540_P3_P4_P4.3.1.1	leaf	May262023	A10	1	1
PN1_SID11	Zea_mays	Zv.0420	Zv.0420_P3_P3_P1.2.1.1	leaf	May262023	A11	1	1
PN1_SID12	Zea_mays	Zx.0340	Zx.0340_P2_P2_P2.1.1.1	leaf	May262023	A12	1	1
PN1_SID13	Zea_mays	Zx.0550	Zx.0550_P4_P3_P5.3.1.1	leaf	May262023	B01	1	1
PN1_SID14	Zea_mays	Zx.0510	Zx.0510_P1_P5_P1.2.1.1	leaf	May262023	B02	1	1
PN1_SID15	Zea_mays	B73	B73	leaf	May262023	B03	1	1
PN1_SID16	Zea_mays	Zx.0580	Zx.0580_P2_P5_P4.4.1.1	leaf	May262023	B04	1	1
PN1_SID17	Zea_mays	Zx.0340	Zx.0340_P2_P2_P2.2.1.1	leaf	May262023	B05	1	1
PN1_SID18	Zea_mays	Zv.0240	Zv.0240_P2_P3_P2.1.1.1	leaf	May262023	B06	1	1
PN1_SID19	Zea_mays	Zh.0020	Zh.0020_P3_P3_P1.5.1.1	leaf	May262023	B07	1	1
PN1_SID20	Zea_mays	Zx.0470	Zx.0470_P2_P4_P1.2.1.1	leaf	May262023	B08	1	1
PN1_SID21	Zea_mays	Zx.0580	Zx.0580_P2_P1_P2.3.1.1	leaf	May262023	B09	1	1
PN1_SID22	Zea_mays	Zv.0410	Zv.0410_P2_P3_P2.2.1.1	leaf	May262023	B10	1	1
PN1_SID23	Zea_mays	B73	B73	leaf	May262023	B11	1	1
PN1_SID24	Zea_mays	Zx.0520	Zx.0520_P4_P1_P1.2.1.1	leaf	May262023	B12	1	1
PN1_SID25	Zea_mays	Zd.0020	Zd.0020_P3_P2_P1.2.1.1	leaf	May262023	C01	1	1
PN1_SID26	Zea_mays	Zx.0580	Zx.0580_P3_P1_P3.1.1.1	leaf	May262023	C02	1	1
PN1_SID27	Zea_mays	Zx.0350	Zx.0350_P1_P3_P2.1.1.1	leaf	May262023	C03	1	1
PN1_SID28	Zea_mays	Zx.0550	Zx.0550_P4_P4_P4.4.1.1	leaf	May262023	C04	1	1
PN1_SID29	Zea_mays	Zv.0210	Zv.0210_P1_P3_P2.1.1.1	leaf	May262023	C05	1	1
PN1_SID30	Zea_mays	Zx.0550	Zx.0550_P4_P5_P1.3.1.1	leaf	May262023	C06	1	1
