SampleID	RawReads	TrimmedReads	TrimmedPercentage
PN1_SID10	2668893	1385012	48.11
PN1_SID11	9274518	4791554	48.34
PN1_SID12	5638829	2935097	47.95
PN1_SID13	4303963	2301467	46.53
PN1_SID14	7211867	3732246	48.25
PN1_SID15	3452248	1545249	55.24
PN1_SID16	3345264	1744099	47.86
PN1_SID17	2615814	1404809	46.30
PN1_SID18	2150621	1087590	49.43
PN1_SID19	5226165	2495221	52.26
PN1_SID1	6807128	3827535	43.77
PN1_SID20	3630459	1980639	45.44
PN1_SID21	5121956	2846243	44.43
PN1_SID22	4130604	2248490	45.57
PN1_SID23	10329251	5280214	48.88
PN1_SID24	5127185	2712276	47.10
PN1_SID25	3822242	2141375	43.98
PN1_SID26	3084816	1676800	45.64
PN1_SID27	2738769	1478171	46.03
PN1_SID28	3161892	1661034	47.47
PN1_SID29	2600175	1283147	50.65
PN1_SID2	4419876	2043136	53.77
PN1_SID30	14142029	7343065	48.08
PN1_SID31	4002367	2093804	47.69
PN1_SID32	5623321	2803826	50.14
PN1_SID33	3653830	1949485	46.65
PN1_SID34	2925183	1690631	42.20
PN1_SID35	5053320	2552470	49.49
PN1_SID36	3807301	1950686	48.76
PN1_SID37	2375611	1187856	50.00
PN1_SID38	3561039	1861851	47.72
PN1_SID39	3745234	1933099	48.39
PN1_SID3	5226903	2625969	49.76
PN1_SID40	3425305	1778089	48.09
PN1_SID41	2492884	1382774	44.53
PN1_SID42	3211940	1623835	49.44
PN1_SID43	5249148	2850228	45.70
PN1_SID44	2219138	1188512	46.44
PN1_SID45	3892901	2147080	44.85
PN1_SID46	4054051	1998898	50.69
PN1_SID47	5480894	2700016	50.74
PN1_SID48	3167448	1714083	45.88
PN1_SID49	2030810	935187	53.95
PN1_SID4	4866579	2536837	47.87
PN1_SID50	3299265	1762613	46.58
PN1_SID51	2512982	1269072	49.50
PN1_SID52	3774721	1908658	49.44
PN1_SID53	3568588	1753122	50.87
PN1_SID54	2453688	1161485	52.66
PN1_SID55	4206068	2196012	47.79
PN1_SID56	6081715	3017559	50.38
PN1_SID57	3071660	1737567	43.43
PN1_SID58	2877860	1511617	47.47
PN1_SID59	5159893	2720618	47.27
PN1_SID60	3656922	1926852	47.31
PN1_SID61	3666681	1790885	51.16
PN1_SID62	3430033	1646785	51.99
PN1_SID63	5092301	2714362	46.70
PN1_SID64	2851993	1454236	49.01
PN1_SID65	1882231	933326	50.41
PN1_SID66	2444760	1074139	56.06
PN1_SID67	2641832	1151375	56.42
PN1_SID68	4356933	2164212	50.33
PN1_SID69	3594887	1630606	54.64
PN1_SID70	3322559	1663928	49.92
PN1_SID71	4755162	2267258	52.32
PN1_SID72	4420273	2300108	47.96
PN1_SID73	2276983	1119100	50.85
PN1_SID74	4038711	2122935	47.44
