sample_id	pos	softL	softR	read_len
PN1_SID10	17933749	0	0	151
PN1_SID10	17933787	0	0	151
PN1_SID10	17933850	0	24	82
PN1_SID10	17933858	0	0	151
PN1_SID10	17933865	0	0	151
PN1_SID10	17933889	0	0	151
PN1_SID10	17933899	0	0	151
PN1_SID10	17933899	0	0	151
PN1_SID11	17925669	0	0	151
PN1_SID11	17925689	4	0	151
PN1_SID11	17925700	0	0	151
PN1_SID11	17925700	0	0	151
PN1_SID11	17925719	0	0	150
PN1_SID11	17925721	0	0	151
PN1_SID11	17925721	0	0	151
PN1_SID11	17933692	0	0	150
PN1_SID11	17933699	0	0	151
PN1_SID11	17933699	0	0	142
PN1_SID11	17933704	5	0	151
PN1_SID11	17933706	28	0	151
PN1_SID11	17933719	0	2	50
PN1_SID11	17933721	0	0	151
PN1_SID11	17933735	0	0	151
PN1_SID11	17933743	30	0	151
PN1_SID11	17933746	0	0	151
PN1_SID11	17933746	0	0	151
PN1_SID11	17933748	2	0	151
PN1_SID11	17933756	0	0	151
PN1_SID11	17933761	0	3	150
PN1_SID11	17933762	0	5	151
PN1_SID11	17933762	0	5	151
PN1_SID11	17933768	0	11	151
PN1_SID11	17933772	0	0	150
PN1_SID11	17933787	0	30	151
PN1_SID11	17933796	4	0	105
PN1_SID11	17933803	0	46	151
PN1_SID11	17933823	3	0	44
PN1_SID11	17933837	0	3	74
PN1_SID11	17933844	26	0	151
PN1_SID11	17933856	6	0	151
PN1_SID11	17933861	6	0	53
PN1_SID11	17933872	0	0	151
PN1_SID11	17933879	8	0	47
PN1_SID11	17933886	0	0	151
PN1_SID11	17933889	0	13	151
PN1_SID11	17933891	0	0	151
PN1_SID11	17933897	0	0	151
PN1_SID12	17925704	6	0	151
PN1_SID12	17925721	0	0	151
PN1_SID12	17933776	11	0	49
PN1_SID12	17933821	0	0	151
PN1_SID12	17933840	0	0	62
PN1_SID12	17933843	0	0	46
PN1_SID12	17933845	14	0	49
PN1_SID12	17933845	14	0	49
PN1_SID12	17933863	0	0	151
PN1_SID12	17933866	1	0	107
PN1_SID12	17933871	0	0	151
PN1_SID12	17933871	0	0	61
PN1_SID12	17933872	1	1	131
PN1_SID12	17933872	0	0	151
PN1_SID12	17933889	0	0	151
PN1_SID12	17933892	11	0	141
PN1_SID12	17933894	3	0	151
PN1_SID12	17933899	0	0	150
PN1_SID12	17933901	0	0	151
PN1_SID13	17933714	0	0	46
PN1_SID13	17933735	20	2	150
PN1_SID13	17933739	0	0	60
PN1_SID13	17933804	0	0	151
PN1_SID13	17933826	0	0	151
PN1_SID13	17933826	0	0	151
PN1_SID13	17933834	33	0	151
PN1_SID13	17933839	3	0	151
PN1_SID13	17933842	0	0	72
PN1_SID13	17933842	0	0	109
PN1_SID13	17933857	0	0	151
PN1_SID13	17933865	0	0	151
PN1_SID13	17933871	0	0	37
PN1_SID13	17933871	0	0	151
PN1_SID13	17933891	0	0	151
PN1_SID13	17933899	0	0	136
PN1_SID13	17933899	0	0	48
PN1_SID13	17933899	0	0	151
PN1_SID14	17925655	0	0	151
PN1_SID14	17925691	0	0	151
PN1_SID14	17933691	5	0	60
PN1_SID14	17933694	0	0	94
PN1_SID14	17933729	0	0	151
PN1_SID14	17933735	2	0	81
PN1_SID14	17933742	0	0	72
PN1_SID14	17933745	0	0	53
PN1_SID14	17933770	0	13	151
PN1_SID14	17933770	0	15	151
PN1_SID14	17933801	0	0	151
PN1_SID14	17933808	0	0	151
PN1_SID14	17933828	0	17	84
PN1_SID14	17933831	0	0	150
PN1_SID14	17933832	0	0	151
PN1_SID14	17933832	0	0	151
PN1_SID14	17933834	9	0	151
PN1_SID14	17933840	0	0	151
PN1_SID14	17933853	0	0	126
PN1_SID14	17933862	16	0	72
PN1_SID14	17933863	0	0	151
PN1_SID14	17933865	0	0	151
PN1_SID14	17933871	0	0	151
PN1_SID14	17933879	1	0	151
PN1_SID14	17933881	0	0	151
PN1_SID14	17933885	40	0	150
PN1_SID14	17933889	0	0	151
PN1_SID14	17933889	0	0	151
PN1_SID14	17933894	19	0	151
PN1_SID14	17933895	0	0	60
PN1_SID14	17933899	0	0	151
PN1_SID14	17933899	0	0	151
PN1_SID14	17933899	0	0	151
PN1_SID14	17933901	0	0	101
PN1_SID15	17874814	0	0	79
PN1_SID15	17933742	0	0	81
PN1_SID15	17933828	2	0	151
PN1_SID15	17933854	0	0	151
PN1_SID15	17933879	0	0	150
PN1_SID15	17933888	0	0	150
PN1_SID15	17933899	0	0	151
