pos	strand	class	group	depth
42033299	minus	nbr	B73	14
42033078	minus	nbr	B73	115
42032532	plus	ppl2	B73	179
42032980	minus	nbr	Teo	6
42031996	plus	unassigned	B73	3
42032119	plus	unassigned	B73	6
42032371	plus	unassigned	B73	7
42032855	minus	unassigned	B73	8
42032139	minus	unassigned	B73	23
42032599	plus	unassigned	Teo	11
42032638	plus	unassigned	B73	8
42032162	plus	unassigned	Teo	7
42032984	minus	nbr	B73	107
42032763	minus	nbr	B73	2872
42032122	minus	unassigned	B73	20
42032201	plus	unassigned	B73	3
42032890	plus	unassigned	B73	2199
42031948	minus	unassigned	B73	1
42033183	plus	unassigned	B73	13
42032681	plus	unassigned	Teo	1
42032948	plus	unassigned	Teo	3
42032720	plus	unassigned	B73	1299
42031931	minus	unassigned	B73	1
42033013	plus	unassigned	B73	27
42032511	plus	unassigned	Teo	11
42032153	minus	unassigned	Teo	17
42033323	plus	unassigned	Teo	1
42032099	plus	unassigned	B73	2
42031636	plus	unassigned	B73	2
42033010	minus	unassigned	B73	1
42032181	plus	unassigned	B73	3
42032836	minus	unassigned	B73	21
42032011	plus	unassigned	B73	2
42032103	minus	unassigned	B73	4
42031929	minus	unassigned	B73	1
42032484	minus	unassigned	B73	2
42032601	plus	ppl2	B73	194
42031912	minus	unassigned	B73	4
42032850	minus	unassigned	Teo	1
42032134	minus	unassigned	Teo	14
42032321	plus	unassigned	Teo	7
42032764	plus	unassigned	B73	4351
42033237	minus	nbr	Teo	2
42033016	minus	nbr	Teo	8
42032657	plus	ppl2	Teo	8
42032904	plus	unassigned	Teo	45
42032890	minus	nbr	B73	63
42032328	minus	unassigned	Teo	19
42032661	minus	unassigned	B73	9
42032888	minus	nbr	Teo	1
42031900	plus	ppl2	Teo	7
42032055	plus	unassigned	B73	1
42031866	plus	ppl2	Teo	3
42032574	plus	unassigned	B73	9
42032365	plus	unassigned	Teo	7
42032404	plus	unassigned	B73	7
42033386	plus	unassigned	B73	3
42032884	plus	unassigned	Teo	301
42032923	plus	unassigned	B73	195
42033216	plus	unassigned	B73	12
42032714	plus	unassigned	Teo	108
42033007	plus	unassigned	Teo	2
42032926	minus	nbr	B73	109
42031904	plus	ppl2	B73	15
42032659	minus	unassigned	B73	10
42032642	minus	unassigned	B73	23
42031649	plus	ppl2	B73	15
42032673	minus	unassigned	Teo	1
42033364	minus	nbr	Teo	1
42033143	minus	nbr	Teo	6
42031572	plus	unassigned	B73	1
42032563	plus	ppl2	Teo	217
42032121	plus	ppl2	Teo	11
42032342	plus	ppl2	Teo	52
42032384	plus	unassigned	B73	8
42032175	plus	unassigned	Teo	7
42032694	plus	unassigned	Teo	1
42032967	plus	unassigned	B73	54
42033368	minus	nbr	B73	4
42033147	minus	nbr	B73	85
42032758	plus	unassigned	Teo	447
42032530	plus	unassigned	B73	11
42032567	plus	ppl2	B73	208
42032346	plus	ppl2	B73	59
42032125	plus	ppl2	B73	30
42033342	plus	unassigned	B73	3
42032794	minus	nbr	Teo	70
42032840	plus	unassigned	Teo	1002
42032623	minus	unassigned	B73	27
42033133	plus	unassigned	Teo	2
42032832	minus	nbr	B73	515
42033008	minus	unassigned	B73	1
42032798	minus	nbr	B73	1576
42031810	plus	ppl2	B73	13
42032817	minus	unassigned	B73	38
42031965	plus	unassigned	B73	3
42032258	plus	unassigned	B73	1
42032800	minus	unassigned	B73	129
42032848	minus	unassigned	Teo	1
42032777	plus	unassigned	B73	6080
42032568	plus	unassigned	Teo	10
42032340	plus	unassigned	B73	7
42032831	minus	unassigned	Teo	1
42032115	minus	unassigned	Teo	12
42032607	plus	unassigned	B73	9
42032131	plus	unassigned	Teo	5
42033152	plus	unassigned	B73	24
42032650	plus	unassigned	Teo	3
42032917	plus	unassigned	Teo	11
42032632	plus	ppl2	Teo	155
42032985	minus	unassigned	B73	1
42033274	minus	nbr	B73	23
42033053	minus	nbr	B73	113
42033216	minus	nbr	B73	41
42032636	plus	ppl2	B73	168
42032829	minus	unassigned	Teo	1
42033306	minus	nbr	Teo	1
42032378	plus	unassigned	Teo	5
42032150	plus	unassigned	B73	9
42032812	minus	unassigned	Teo	5
42031905	minus	unassigned	Teo	8
42032094	minus	unassigned	B73	5
42032214	plus	unassigned	B73	3
