Subcomplex	Subunit	Gene_ID	Chromosome	GFF3_Annotation	BLAST_Evidence	Genome
SubM	NdhA	-	chloroplast	NADH dehydrogenase subunit 1 (ndhA)	chloroplast-encoded	chloroplast
SubM	NdhB	-	chloroplast	NADH dehydrogenase subunit 2 (ndhB)	chloroplast-encoded	chloroplast
SubM	NdhC	-	chloroplast	NADH dehydrogenase subunit 3 (ndhC)	chloroplast-encoded	chloroplast
SubM	NdhD	-	chloroplast	NADH dehydrogenase subunit 4 (ndhD)	chloroplast-encoded	chloroplast
SubM	NdhE	-	chloroplast	NADH dehydrogenase subunit 4L (ndhE)	chloroplast-encoded	chloroplast
SubM	NdhF	-	chloroplast	NADH dehydrogenase subunit 5 (ndhF)	chloroplast-encoded	chloroplast
SubM	NdhG	-	chloroplast	NADH dehydrogenase subunit 6 (ndhG)	chloroplast-encoded	chloroplast
SubA	NdhH	-	chloroplast	NADH dehydrogenase subunit 7 (ndhH)	chloroplast-encoded	chloroplast
SubA	NdhI	-	chloroplast	NADH dehydrogenase subunit I (ndhI)	chloroplast-encoded	chloroplast
SubA	NdhJ	-	chloroplast	NADH dehydrogenase subunit J (ndhJ)	chloroplast-encoded	chloroplast
SubA	NdhK	-	chloroplast	NADH dehydrogenase subunit K (ndhK)	chloroplast-encoded	chloroplast
SubA	NdhL	Zm00001eb312390	chr7	NAD(P)H-quinone oxidoreductase subunit L chloroplastic	BLAST 50.0% id	nuclear
SubA	NdhL	Zm00001eb099410	chr2	NAD(P)H-quinone oxidoreductase subunit L chloroplastic	BLAST 52.8% id (homeolog)	nuclear
SubA	NdhM	Zm00001eb075370	chr2	NAD(P)H-quinone oxidoreductase subunit M, chloroplastic (NAD(P)H dehydrogenase subunit M) (NADH-plastoquinone oxidoreductase subunit M)	BLAST 62.9% id	nuclear
SubA	NdhM	Zm00001eb427570	chr10	NAD(P)H-quinone oxidoreductase subunit M, chloroplastic (NAD(P)H dehydrogenase subunit M) (NADH-plastoquinone oxidoreductase subunit M)	BLAST 64.9% id (homeolog)	nuclear
SubA	NdhN	Zm00001eb145680	chr3	NAD(P)H-quinone oxidoreductase subunit N, chloroplastic	BLAST 75.9% id	nuclear
SubA	NdhO	Zm00001eb362560	chr8	NAD(P)H-quinone oxidoreductase subunit O, chloroplastic; NAD(P)H-quinone oxidoreductase subunit O chloroplastic	BLAST 85.1% id	nuclear
SubE	NdhS	Zm00001eb224490	chr5	NAD(P)H-quinone oxidoreductase subunit S chloroplastic	BLAST 51.8% id	nuclear
SubE	NdhT	Zm00001eb168470	chr4	Heat shock protein binding protein	BLAST 62.2% id	nuclear
SubE	NdhU	Zm00001eb409580	chr10	NAD(P)H-quinone oxidoreductase subunit U chloroplastic	BLAST 53.0% id	nuclear
SubE	NdhV	-	-	NDH subunit V; stabilizes NDH complex under high light (AT4G37925 ortholog)	maize ortholog not yet identified in B73v5	nuclear
SubB	PnsB1	Zm00001eb176730	chr4	Photosynthetic NDH subunit of subcomplex B 1, chloroplastic	BLAST 63.4% id	nuclear
